,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary,Hourly
8,Data Scientist,"$165,000 /yr (est.)","Data Scientist ($160-170 yr) Must have professional experience as a Data Scientist
This is an opportunity to take part in doing BIG things for the advancement of ad technology and online advertising.You’ll lead the effort in analyzing large & complex datasets, using machine learning to identify key factors of ad campaign performances and focus on building better solutions using data.
The Data Science team builds applications and data-enabled solutions which includes online and offline data across multiple screens on mobile and desktop for video, social, search and display advertising.
You'll work with Big Data, driving projects that will have a significant impact; uncovering patterns and building predictions using data, algorithms, machine learning and AI techniques.",-1,"IdentifyUp, Inc.",Remote,-1,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1,165000.0,0
9,Avail - Staff Data Scientist (Remote Home Based Worker),"$154,800 /yr (est.)","Avail is a car sharing service to help people get where they want to go–whether that’s to run errands, take an unforgettable road trip, or explore a new city–while helping locals earn cash from their unused cars. We are passionate about making shared transportation safe, simple, and affordable, and redefining what it means to own a car.

We’ve assembled some of the sharpest folks from across industries to compete against the antiquated system of traditional car rental. We put ideas into action and learn along the way in an open, collaborative work environment. As a part of Avail, you’ll make a direct impact and help build a business from the ground up. No matter where you’ve been, we’re always looking for fresh thinking and new perspectives.
Job Summary",3.5,Allstate,Remote,-1,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1,154800.0,0
10,Data Scientist Contract-W2,$13.06 /hr (est.),"Collecting data through means such as analyzing business results or by setting up and managing new studies
Transferring data into a new format to make it more appropriate for analysis
Creating new, experimental frameworks to collect data
Building tools to automate data collection
Searching through large data sets for usable information
Creating reports and presentations for business uses
Correlating similar data to find actionable results
Job Types: Full-time, Contract",-1,Snowrelic,Remote,-1,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1,26120.0,1
13,Data Scientist,$19.00 /hr (est.),"Location: Remote
Start Date: ASAP
Duration: 6 months
Additional Details:
40 hours of work per week
Remote or on site in Malvern (PA), Charlotte (NC), or Dallas (TX) [whatever candidate is
comfortable with]
6 months to start with possible extensions
Senior AWS Data Scientist Consultant x4",-1,PSY LLC,Remote,-1,-1,-1,-1,-1,-1,-1,-1,38000.0,1
14,Data Science/Data Scientist,$10.68 /hr (est.),"Job title: Data Scientist
Location : Remote
Duration : Long term
Job Description:
Primary responsibilities fall into the following categories:
· Monitor & Maintain Machine Learning frameworks
· Optimizing data engineering and machine learning pipelines
· Support data and cloud transformation initiatives for Advanced analytics",4.1,Celebal Technologies,Remote,-1,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,21360.0,1
15,Junior Data Scientist,"$67,500 /yr (est.)","SiteZeus is hiring a Data Scientist to join our growing product team! Our ideal candidate has a strong background in Data Science and Statistics.
SiteZeus is a location intelligence SaaS platform based out of Tampa, FL and founded in 2013. We are a remote organization focused on company culture, industry changing technology, and employee value. Our customers use SiteZeus to make better decisions about where to build their next physical locations, and how to optimize their investment in existing locations. We empower brands to pick the very best locations by employing the very best people and giving them the tools to succeed.
Expected Salary Range - $50,000 - $85,000
SiteZeus may consider candidates it deems as overqualified or underqualified. Such candidates may be considered at salary numbers higher or lower than the listed range.",4.7,SiteZeus,Remote,-1,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,67500.0,0
16,Data Scientist,"$155,000 /yr (est.)","Data Scientist
Our client was founded in 2010, is the fastest-growing sports data provider in the U.S. Its clients include Google, Bleacher Report, Facebook and the Pac-12 Conference. Our client drives innovation in sports by providing products that grow its customers’ businesses, maintaining the highest standards in product quality, customer service and business practices.

Job Description:
As a Data Scientist, your daily job will be to extract valuable, actionable insights from data and develop data-driven predictive models and algorithms aimed at improving our products and services. You will explore large collections of sports data collected by our client, as well as data related to the usage of our products and services, reaching millions of end-users across the globe. You will work closely with product owners and technical leads in our sports betting, sports integrity and audiovisual product verticals.",3.6,"Search Leaders, LLC",Remote,-1,1 to 50 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,155000.0,0
20,Data Scientist,$11.87 /hr (est.),"Skill Sets:
Bachelor’s, Master’s or PhD degree in Statistics/Economics/Math/Computer Science or related field
Experience in SQL, R, Python to implement statistical models, machine learning, and analysis (Recommenders, Prediction, Classification, Clustering, etc.) in big data environment
Experience on large scale computing systems like COSMOS, Hadoop, MapReduce and/or similar systems preferred
Experience with programming skills, e.g. Java, C# is a plus
Exceptional written and verbal communication to educate and work with cross functional teams",4.1,Rangam Consultants Inc.,Remote,-1,501 to 1000 Employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,23740.0,1
21,Data Scientist,$11.87 /hr (est.),"Must have –
strong python developers with data science / machine learning exposure
hands-on py spark experience
strong sql and data analysis experience
AWS experience
healthcare data experience
Good to have – experience of converting SAS data models into Python, and Snowflake experience
Job Types: Part-time, Contract",-1,Silicon Hills Info Solutions,Remote,-1,-1,-1,-1,-1,-1,-1,-1,23740.0,1
25,Data Scientist,"$65,000 /yr (est.)","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Identify valuable data sources and automate collection processes
Requirements",-1,Audiohook,Remote,-1,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,-1,65000.0,0
30,Staff Data Scientist - Remote USA,"$150,000 /yr (est.)","Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description

The Data Science team develops innovative, data-driven solutions to today’s most challenging cybersecurity problems. By leveraging data derived from our company’s unparalleled view of the threat landscape, the Data Science team provides solutions with significant impact for our customers and the broader cybersecurity industry.",3.8,"FireEye, Inc.",Remote,-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,150000.0,0
34,Machine Learning Engineer 100% Remote,"$155,000 /yr (est.)","We are Mythical Games. A venture-backed next-generation game technology company at the intersection of video games and economics led by industry veterans. Our goal is to lead the industry with the launch of exceptional video game experiences that leverage distributed ledger technology, while also providing a platform of robust tools that will allow any other game developers to do the same.
ABOUT THE ROLE:
We are looking for a highly skilled Sr. Software Engineer with a proven track record performing statistical analysis, prediction, and recommendation on diverse and large-scale e-commerce datasets preferably. In this role, you will be responsible for delivering models in production that optimize marketplace interactions, generate insights, and detect anomalies among other things. While this role is production-focused, as one of the first members, you will be critical for the development of Data Science at Mythical Games.",5.0,Mythical Games,Remote,-1,1 to 50 Employees,2018,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,155000.0,0
36,Data Scientist,$13.06 /hr (est.),"Job Post: Data Scientist II
Number of Positions: 2
Duration: 06 Months
Location: Works From Home/Colorado
Description:
Some of the characteristics the manager is looking for in a contractor for this role are:
Knowledge and experience in building and analyzing linear regression, logistic regression, generalized linear models, and time-series models",4.4,Tech True Up,Remote,-1,51 to 200 Employees,2004,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,26120.0,1
40,Data Scientist,"$102,500 /yr (est.)","Description
This position will mine and analyze complex and unstructured data sets using advanced statistical methods in data driven decision making. This position will also will be able to develop, through various software, models, graphs and other means to relay the interpretation of the data.
RESPONSIBILITIES
Identifies unique opportunities to collect new data.
Designs new processes and builds large, complex data sets.
Analyze source data and data flows, working with both structured and unstructured data",2.0,INTOLON,Remote,-1,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,-1,102500.0,0
41,Data Scientist,"$107,500 /yr (est.)","MetLife Legal Plans
Data Scientist
About Us
MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.",-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1,-1,-1,107500.0,0
42,Data Scientist,"$92,500 /yr (est.)","About BlueConduit
BlueConduit is a social venture that uses machine learning to support decision making to improve public health. Our predictive models help water utilities inventory and locate their lead service lines in order to accelerate their replacement. The team began guiding Flint’s lead service line replacement program in 2016. Since then, more than 50 cities use BlueConduit’s machine learning models to locate and inventory lead service lines. BlueConduit has inventoried more than 500,000 service lines across its projects in the United States and Canada. Those service lines provide water to more than 1,000,000 residents. The Bipartisan Infrastructure Bill includes $15 billion to support the removal of lead pipes. This is an opportunity to be part of a team that is helping communities get the lead out of the ground. BlueConduit is funded in part by charitable organizations including Google.org, The Rockefeller Foundation, and The Kresge Foundati",-1,BlueConduit,Remote,-1,-1,-1,-1,-1,-1,-1,-1,92500.0,0
45,Urgent requirement: Data Scientist / Analyst,$8.31 /hr (est.),"Data Scientist / Data Analyst Requirements · 3+ years of data science, data analytics, or business intelligence experience · Strong understanding of SQL · Experience with conducting data analysis in Python and / or R · Experience building clear and easy to understand dashboards and presentations · Ability to communicate clearly and effectively to cross functional partners of varying technical levels · Ability to define relevant metrics that can guide and influence stakeholders to appropriate and accurate insights Pluses · Familiarity with Superset · Familiarity with running weblab experiments, efficacy studies, or product validation tests · Familiarity with machine learning basics · Familiarity with Airbnb infrastructure, including Airflow, Presto SQL, and Hive SQL · Experience creating and maintaining data pipelines · Experience supporting engineering product work
- strong communication/presentation skills (going out on a limb here, but if you have any candidates who have experience as data analysts AND who previously worked in management consulting or other communication-heavy roles, we would be interested in interviewing them)",-1,Omsai LLC,Remote,-1,-1,-1,-1,-1,-1,-1,-1,16620.0,1
51,Senior Data Scientist,$19.47 /hr (est.),"A Bachelor's degree, Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field.
4+ years of experience in building and managing AI/ML models.
Familiarity with the following Concepts/software/tools:
Experience in Supervised Learning, Unsupervised Learning, CNN, RNN, Deep-Learning, Image Processing and NLP. Experience in Reinforcement Learning is a plus.
Experience creating and using advanced machine learning algorithms and statistics: regression, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience in Python, Python for Data Science, Data Visualization
Experience working with one or more frameworks such as TensorFlow, PyTorch, Keras, OpenCV",3.5,V-Tech Solutions,Remote,-1,51 to 200 Employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,38940.0,1
54,Predictive Analytics Data Scientist,"$115,500 /yr (est.)","Description
Job Description:
Looking for the opportunity to work on problems that matter, with colleagues that share your interest and expertise in AI and machine learning AND work from home?
Leidos is looking for a Predictive Analytics Data Scientist to apply their strong general knowledge of machine learning and artificial intelligence to operational problems. These problems can require searching for phenomena and analytic answers across multiple modalities (image, video, audio, lidar, and more). You should be comfortable working independently, leading a technical team, and collaborating with other researchers to implement and customize algorithms, with the goal of making them deployable and maintainable in a modern model CI/CD environment. Our environment requires strong Python coder skills with knowledge in using ML libraries (e.g., SciKit Learn) on both CPU and GPU compute architectures.




Eligible
$5000.00
Yes, 100%
Top Secret
Yes, 10% of the time
40
Day
Professional
Data Scientist
Pay Range $91,000.00 - $140,000.00 - $189,000.00",3.9,Leidos,Remote,-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,115500.0,0
57,Project Moderator (AI/Machine Learning),$8.31 /hr (est.),"TELUS International is looking for Project Moderators for a short-term, onsite video study.
Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following cities: Dallas, TX; Detroit, MI; Boston, MA; Philadelphia, PA; Charlotte, NC; Seattle, WA
Project Summary
This is an Artificial Intelligence Data Collection project about Interactions between a user (participant) and a phone device but will include certain interactions with the onsite Project Moderator since the participant will need to follow instructions provided. Once the Moderator has finished collecting the data from the participant, they will qualify the results from the participant’s interactions with the phone device.",3.8,TELUS,Remote,-1,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,16620.0,1
61,Staff Data Scientist - Remote USA,"$150,000 /yr (est.)","Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description

The Data Science team develops innovative, data-driven solutions to today’s most challenging cybersecurity problems. By leveraging data derived from our company’s unparalleled view of the threat landscape, the Data Science team provides solutions with significant impact for our customers and the broader cybersecurity industry.",3.8,"FireEye, Inc.",Remote,-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,150000.0,0
69,Predictive Analytics Data Scientist,"$115,500 /yr (est.)","Description
Job Description:
Looking for the opportunity to work on problems that matter, with colleagues that share your interest and expertise in AI and machine learning AND work from home?
Leidos is looking for a Predictive Analytics Data Scientist to apply their strong general knowledge of machine learning and artificial intelligence to operational problems. These problems can require searching for phenomena and analytic answers across multiple modalities (image, video, audio, lidar, and more). You should be comfortable working independently, leading a technical team, and collaborating with other researchers to implement and customize algorithms, with the goal of making them deployable and maintainable in a modern model CI/CD environment. Our environment requires strong Python coder skills with knowledge in using ML libraries (e.g., SciKit Learn) on both CPU and GPU compute architectures.




Eligible
$5000.00
Yes, 100%
Top Secret
Yes, 10% of the time
40
Day
Professional
Data Scientist
Pay Range $91,000.00 - $140,000.00 - $189,000.00",3.9,Leidos,Remote,-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,115500.0,0
70,Senior Data Scientist,$19.47 /hr (est.),"A Bachelor's degree, Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field.
4+ years of experience in building and managing AI/ML models.
Familiarity with the following Concepts/software/tools:
Experience in Supervised Learning, Unsupervised Learning, CNN, RNN, Deep-Learning, Image Processing and NLP. Experience in Reinforcement Learning is a plus.
Experience creating and using advanced machine learning algorithms and statistics: regression, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience in Python, Python for Data Science, Data Visualization
Experience working with one or more frameworks such as TensorFlow, PyTorch, Keras, OpenCV",3.5,V-Tech Solutions,Remote,-1,51 to 200 Employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,38940.0,1
72,Machine Learning Engineer,"$100,000 /yr (est.)","Scanslated, Inc. is a digital health startup. We use AI software to automatically translate medical reports into a patient-friendly version.
Scanslated, Inc is looking for a Machine Learning Engineer to join our growing team.
The Machine Learning Engineer will perform the following tasks:
Analyze the text of radiology reports to retrieve important findings
Work closely with a team of radiologist who will help label reports
Extensive testing to ensure accuracy
Minimum Qualifications:
Minimum of 3 years experience with machine learning.",-1,"Scanslated, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1,-1,100000.0,0
74,Project Moderator (AI/Machine Learning),$8.31 /hr (est.),"TELUS International is looking for Project Moderators for a short-term, onsite video study.
Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following cities: Dallas, TX; Detroit, MI; Boston, MA; Philadelphia, PA; Charlotte, NC; Seattle, WA
Project Summary
This is an Artificial Intelligence Data Collection project about Interactions between a user (participant) and a phone device but will include certain interactions with the onsite Project Moderator since the participant will need to follow instructions provided. Once the Moderator has finished collecting the data from the participant, they will qualify the results from the participant’s interactions with the phone device.",3.8,TELUS,Remote,-1,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,16620.0,1
81,Machine Learning Engineer,$16.98 /hr (est.),"The simple truth is that access to healthy, nutritious food on a regular basis is not possible for more than 80% of households in Africa, with over 39% of households facing severe inadequate access to food, and up to 49% of households not getting diversity in their diets, while a third of food produced ending in waste bins. At Ayazona, we are challenging that.
Ayazona is being built by a passionate team of engineers, designers, and growth specialists, headquartered in Nairobi. The company was founded by Samson Larsson in 2019, who was later joined by a young, vibrant and creative team always eager to make a lasting impact.
Ayazona Overview
Ayazona helps and enables low and middle-income families in Kenya to access food, household & medical essentials while directing tackling food waste. We believe that everyone everywhere deserves unlimited access to healthy food, household and medical essentials.",-1,Ayazona,Remote,-1,-1,-1,-1,-1,-1,-1,-1,33960.0,1
85,Machine learning/Model monitoring analyst-Remote,$21.37 /hr (est.),"Greetings from Kairos Technologies…!!!
REMOTE
Job Title: Machine learning/Model monitoring analyst
Location: Springfield, MA-Remote
Duration: 12-18months Contract W2
Citizens & GC
SPOTLIGHT:
Model Monitoring REQUIRED. Good communication is required.",-1,Kairos Technologies,Remote,-1,-1,-1,-1,-1,-1,-1,-1,42740.0,1
87,Machine Learning Engineer,"$124,632 /yr (est.)","Machine Learning Ops Engineer
ForceMetrics™ is venture-backed with a diverse founding team led by Andre McGregor, computer engineer and veteran FBI Special Agent turned entrepreneur, alongside a team of data scientists, software engineers, cybersecurity experts, and business operations leaders - many of whom were law enforcement officers themselves, and have built successful companies before. We have a robust set of investors and an advisory board of active/retired police chiefs, government leaders, and technology innovators.
Machine Learning Ops Engineer
ForceMetrics™ mission is to solve some of the most challenging societal problems through data science, and we’re looking for a talented Machine Learning Ops Engineer who will be pivotal in making that happen. You will be an owner of our first product aimed at transforming the way police departments and community services engage each other. You will do this by working closely with our data science team, analyzing and enriching some of the most interesting public safety datasets rarely ever available.",-1,ForceMetrics,Remote,-1,-1,-1,-1,-1,-1,-1,-1,124632.0,0
90,Staff Data Scientist - Remote USA,"$150,000 /yr (est.)","Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description

The Data Science team develops innovative, data-driven solutions to today’s most challenging cybersecurity problems. By leveraging data derived from our company’s unparalleled view of the threat landscape, the Data Science team provides solutions with significant impact for our customers and the broader cybersecurity industry.",3.8,"FireEye, Inc.",Remote,-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,150000.0,0
98,Machine Learning Engineer,$16.98 /hr (est.),"The simple truth is that access to healthy, nutritious food on a regular basis is not possible for more than 80% of households in Africa, with over 39% of households facing severe inadequate access to food, and up to 49% of households not getting diversity in their diets, while a third of food produced ending in waste bins. At Ayazona, we are challenging that.
Ayazona is being built by a passionate team of engineers, designers, and growth specialists, headquartered in Nairobi. The company was founded by Samson Larsson in 2019, who was later joined by a young, vibrant and creative team always eager to make a lasting impact.
Ayazona Overview
Ayazona helps and enables low and middle-income families in Kenya to access food, household & medical essentials while directing tackling food waste. We believe that everyone everywhere deserves unlimited access to healthy food, household and medical essentials.",-1,Ayazona,Remote,-1,-1,-1,-1,-1,-1,-1,-1,33960.0,1
100,Machine Learning Engineer,"$100,000 /yr (est.)","Scanslated, Inc. is a digital health startup. We use AI software to automatically translate medical reports into a patient-friendly version.
Scanslated, Inc is looking for a Machine Learning Engineer to join our growing team.
The Machine Learning Engineer will perform the following tasks:
Analyze the text of radiology reports to retrieve important findings
Work closely with a team of radiologist who will help label reports
Extensive testing to ensure accuracy
Minimum Qualifications:
Minimum of 3 years experience with machine learning.",-1,"Scanslated, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1,-1,100000.0,0
